,def_season,def_team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards
88,2016,NYJ,1,617,27,325,71,237,14,27,179,81,8,141,54,0,0,0,4,4,1,27,149,43,941
89,2016,PHI,2,624,35,251,71,313,15,33,207,90,16,207,77,3,1,0,10,10,0,19,246,35,956
90,2016,PIT,0,608,105,289,76,330,16,38,259,92,13,133,80,0,1,0,10,10,1,22,185,28,603
91,2016,SEA,0,597,28,450,73,324,16,42,272,103,11,72,70,0,1,4,8,8,1,30,249,35,808
92,2016,SF,0,738,84,280,60,239,15,31,154,79,10,96,73,0,1,0,10,10,0,23,216,38,749
93,2016,TB,0,693,81,185,68,270,16,38,234,83,17,234,87,4,1,76,12,12,0,29,266,21,307
94,2016,TEN,0,662,24,224,68,337,4,39,269,95,12,68,76,0,0,0,6,6,1,30,236,33,629
95,2016,WAS,1,651,90,316,72,309,17,38,253,97,13,186,75,0,0,0,7,7,0,29,344,27,570
96,2017,ARI,0,730,32,198,84,372,17,37,255,96,15,258,74,1,0,0,6,6,1,41,288,29,592
97,2017,ATL,0,649,33,305,73,339,12,39,296,81,8,108,65,0,0,0,8,8,3,27,201,39,871
98,2017,BAL,2,726,17,215,90,389,16,41,280,100,22,385,83,3,0,0,12,12,3,32,322,34,936
99,2017,BUF,0,654,115,345,70,254,16,26,147,71,18,275,82,1,0,0,7,7,2,24,213,32,640
100,2017,CAR,2,591,22,322,69,319,15,50,304,105,10,78,56,0,0,0,11,11,1,40,318,34,760
101,2017,CHI,2,726,20,228,72,330,14,42,277,101,8,253,69,2,1,73,14,14,1,32,337,46,969
102,2017,CIN,0,728,18,346,82,384,4,41,278,100,11,339,73,3,0,0,2,2,0,47,409,34,670
103,2017,CLE,0,702,31,331,93,354,14,34,197,78,7,97,73,1,0,0,6,6,0,38,221,35,790
104,2017,DAL,1,650,55,281,89,426,20,38,321,97,10,98,64,1,0,86,10,10,0,31,275,25,620
105,2017,DEN,0,617,44,234,75,293,8,33,175,77,10,237,62,2,0,0,7,7,2,41,351,34,768
106,2017,DET,2,703,46,242,76,318,16,35,228,95,19,253,79,3,0,0,13,13,2,37,517,32,583
107,2017,GB,0,669,81,299,78,328,10,37,252,85,11,54,64,1,0,0,10,10,1,27,289,35,761
108,2017,HOU,0,620,64,308,79,280,13,32,200,71,11,144,58,2,1,0,5,5,2,35,296,27,558
109,2017,IND,0,644,19,335,66,281,11,25,177,73,13,215,69,1,2,0,7,7,0,27,162,28,590
110,2017,JAX,1,688,16,200,81,335,17,55,356,105,21,294,81,2,0,0,12,12,5,34,325,25,551
111,2017,KC,1,650,54,218,71,273,12,31,179,70,16,201,86,0,0,0,10,10,3,35,220,47,1051
112,2017,LA,3,651,62,234,72,322,17,48,324,99,18,401,96,3,2,43,10,10,0,45,458,40,1001
113,2017,LAC,1,616,179,289,74,309,13,43,261,86,18,302,79,2,0,0,9,9,2,28,259,25,474
114,2017,LV,0,633,103,285,64,247,12,31,188,73,5,10,56,0,0,0,9,9,0,27,155,34,738
115,2017,MIA,0,644,58,274,68,301,9,30,185,89,9,99,57,1,2,40,6,6,2,37,271,40,834
116,2017,MIN,0,605,23,289,77,338,8,36,227,86,14,200,71,1,1,40,5,5,0,39,372,25,619
117,2017,NE,1,662,101,225,62,302,9,41,279,93,12,114,67,0,2,0,5,5,0,32,263,28,622
118,2017,NO,2,673,16,254,77,344,17,42,287,81,20,192,102,2,0,39,5,5,1,34,218,36,825
119,2017,NYG,0,593,206,318,55,219,12,27,161,64,13,161,73,2,1,0,6,6,0,27,148,31,609
120,2017,NYJ,0,676,36,282,69,250,9,28,155,95,11,151,62,0,0,0,9,9,0,38,171,34,683
121,2017,PHI,0,629,45,227,80,297,14,38,246,113,19,278,92,1,0,8,11,12,5,29,259,18,354
122,2017,PIT,2,613,67,229,91,481,12,56,393,104,16,184,80,0,1,24,6,6,0,30,207,33,630
123,2017,SEA,1,675,36,320,76,338,13,39,269,112,14,212,78,3,2,0,9,9,1,36,237,43,1004
124,2017,SF,0,695,83,237,66,256,17,30,179,100,10,185,58,1,0,0,10,10,0,34,304,31,570
125,2017,TB,0,707,83,239,58,224,18,22,137,79,13,218,56,1,0,0,13,13,3,20,192,20,432
126,2017,TEN,0,671,28,304,64,275,11,42,257,91,12,154,74,0,0,0,9,9,1,36,305,28,618
127,2017,WAS,0,627,94,334,61,271,12,41,254,108,16,194,90,2,0,0,7,7,0,29,178,34,673
128,2018,ARI,1,771,60,246,85,360,13,49,333,90,7,55,52,0,0,0,9,9,2,36,295,25,536
129,2018,ATL,0,662,50,326,54,276,8,37,255,77,15,151,72,1,0,-1,4,4,1,21,147,31,689
130,2018,BAL,1,619,35,241,85,414,9,42,279,104,12,99,89,0,0,2,5,5,3,35,404,32,707
131,2018,BUF,0,627,99,287,76,317,20,36,217,87,16,133,73,0,1,0,11,11,1,31,207,38,807
132,2018,CAR,0,579,54,302,76,303,13,34,205,71,13,86,71,0,0,0,9,9,1,24,165,26,582
133,2018,CHI,0,654,65,201,82,389,18,50,339,100,27,330,98,5,1,0,9,9,1,33,411,23,440
134,2018,CIN,0,697,33,337,61,261,10,34,173,83,12,222,75,3,0,0,6,6,2,22,236,43,1071
135,2018,CLE,0,712,39,317,72,328,18,37,245,90,17,100,78,0,1,0,14,14,0,32,290,44,884
136,2018,DAL,0,642,49,303,65,285,14,39,229,98,9,141,66,0,0,0,11,11,1,21,119,13,283
137,2018,DEN,0,654,49,301,67,341,13,43,295,94,17,158,82,2,0,19,10,10,0,30,132,30,604
138,2018,DET,0,653,45,209,66,347,10,43,298,77,7,148,48,2,0,0,7,7,0,27,171,20,482
139,2018,GB,1,657,76,268,71,389,10,42,297,74,7,100,59,1,0,0,8,8,0,30,198,30,644
140,2018,HOU,0,672,44,278,78,356,20,43,310,92,15,252,90,3,0,14,14,15,1,38,327,20,487
141,2018,IND,0,629,121,333,72,307,15,38,228,77,15,220,61,0,0,0,11,11,0,24,217,17,337
142,2018,JAX,1,676,41,191,66,283,7,37,241,93,11,117,52,2,2,0,6,6,0,34,334,26,532
143,2018,KC,1,710,34,306,67,337,23,52,347,105,15,280,64,3,0,0,12,12,1,22,261,40,975
144,2018,LA,1,583,90,274,68,338,13,41,326,100,18,290,68,3,2,0,12,12,1,30,307,39,834
145,2018,LAC,1,621,71,333,64,276,7,38,240,85,13,247,73,1,0,31,7,7,1,34,358,28,653
146,2018,LV,1,610,77,279,48,163,5,13,80,48,14,124,73,1,0,0,3,3,0,25,291,29,663
147,2018,MIA,2,645,64,342,64,274,11,30,208,76,21,321,59,3,0,0,7,7,0,28,293,39,938
148,2018,MIN,0,654,47,287,84,444,8,50,361,94,12,159,63,1,0,0,8,8,2,29,315,22,540
149,2018,NE,2,600,28,356,51,273,14,30,238,100,18,156,67,1,0,35,10,10,1,26,199,28,755
150,2018,NO,0,649,44,256,81,393,19,49,321,98,12,259,69,1,0,12,12,12,0,24,157,23,560
