name,week,manager,team_id,position,roster_position,points,2-PT,3 and Outs,4 Dwn Stops,40 Yd Pass TD,40 Yd Rush,40 Yd Rush TD,Blk Kick,Comp,Def Yds Allow,FG Yds,FGM 0-19,FGM 20-29,Fum Lost,Fum Rec,Fum Ret TD,Inc,Int,PAT Made,PAT Miss,Pass 1st Downs,Pass TD,Pass Yds,Pick Six,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allow 35+,Pts Allow 7-13,Rec,Rec TD,Rec Yds,Ret TD,Ret Yds,Rush Att,Rush TD,Rush Yds,Sack,Safe,TD,TFL,Targets,XPR,Yds Allow 0-99,Yds Allow 100-199,Yds Allow 200-299,Yds Allow 300-399,Yds Allow 400-499,Yds Allow 500+,Yds Allow Neg
Tua Tagovailoa,1,John,461.l.254906.t.4,QB,BN,6.26,1,,,0,0,0,,14,,,,,1,,0,9,2,,,6,1,114,0,,,,,,,,,0,0,0,,,1,0,7,3,,,,0,,,,,,,,
Bryce Young,1,John,461.l.254906.t.4,QB,BN,11.26,0,,,0,0,0,,18,,,,,1,,0,17,2,,,8,1,154,0,,,,,,,,,0,0,0,,,5,0,40,1,,,,0,,,,,,,,
Jake Bates,1,John,461.l.254906.t.4,K,K,6.7,,,,,,,,,,57,0,0,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,1,John,461.l.254906.t.4,DEF,DEF,14.75,,3,0,,,,0,,271,,,,,0,,,0,,,,,,,34,0,0,0,0,1,0,0,,,,0,225,,,,4,0,0,7,,0,0,0,1,0,0,0,0
Dak Prescott,1,J.P.,461.l.254906.t.5,QB,QB,10.87,0,,,0,0,0,,21,,,,,0,,0,13,0,,,9,0,188,0,,,,,,,,,0,0,0,,,1,0,3,0,,,,0,,,,,,,,
A.J. Brown,1,J.P.,461.l.254906.t.5,WR,WR,1.8,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,1,0,8,,,0,0,0,0,,,,1,,,,,,,,
Ladd McConkey,1,J.P.,461.l.254906.t.5,WR,WR,13.4,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,6,0,74,,,0,0,0,0,,,,9,,,,,,,,
Ashton Jeanty,1,J.P.,461.l.254906.t.5,RB,RB,12.0,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,2,,,19,1,38,0,,,,2,,,,,,,,
TreVeyon Henderson,1,J.P.,461.l.254906.t.5,RB,RB,11.1,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,6,0,24,,,5,0,27,0,,,,6,,,,,,,,
George Kittle,1,J.P.,461.l.254906.t.5,TE,TE,12.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,4,1,25,,,0,0,0,0,,,,4,,,,,,,,
Tetairoa McMillan,1,J.P.,461.l.254906.t.5,WR,W/R/T,11.8,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,5,0,68,,,0,0,0,0,,,,9,,,,,,,,
Tyrone Tracy Jr.,1,J.P.,461.l.254906.t.5,RB,BN,5.5,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,2,0,11,,,10,0,24,0,,,,5,,,,,,,,
Bhayshul Tuten,1,J.P.,461.l.254906.t.5,RB,BN,1.1,0,,,0,0,0,,0,,,,,0,,0,0,0,,,0,0,0,0,,,,,,,,,0,0,0,,,3,0,11,0,,,,0,,,,,,,,
